Year,Product,Origin,Destination / PADD,Mode of Transportation,Volume (m3),Volume (bbl),Value (CN$),Value (US$),Price (CN cents/L),Price (US cents/gallon)
1990,Propane,Manitoba,Total,Railway,130822.4,822846.7315,15910538.96,13670329.72,12.161937,39.555658
1990,Propane,Manitoba,Total,Truck,49480.1,311219.933,5618158.86,4817319.708,11.35438,36.854174
1990,Propane,New Brunswick,PADD I,Marine,6075,38210.535,944400,809040.1531,15.545679,50.412189
1990,Propane,New Brunswick,PADD I,Railway,120,754.776,8880,7629.81642,7.4,24.068255
1990,Propane,New Brunswick,Other,Marine,456,2868.1488,122240,103664.8618,26.807017,86.055474
1990,Propane,New Brunswick,Total,Marine,6531,41078.6838,1066640,912705.0149,16.331955,52.900833
1990,Propane,New Brunswick,Total,Railway,120,754.776,8880,7629.81642,7.4,24.068255
1990,Propane,Northwest Territories,PADD V,Truck,87,547.2126,28539.5,24271.35236,32.804022,105.60549
1990,Propane,Northwest Territories,Total,Truck,87,547.2126,28539.5,24271.35236,32.804022,105.60549
1990,Propane,Ontario,PADD I,Railway,228992.3,1440315.769,27665264.13,23695430.8,12.081307,39.170172
1990,Propane,Ontario,PADD I,Truck,95458.3,600413.6153,12353992.96,10569883.3,12.941769,41.914882
1990,Propane,Ontario,PADD II,Pipeline,789897.2,4968295.409,80250821.29,68668211.86,10.159653,32.907652
1990,Propane,Ontario,PADD II,Railway,40037.1,251825.3516,4758475.76,4079290.181,11.885165,38.568589
1990,Propane,Ontario,PADD II,Truck,40013.8,251678.7992,4599645.67,3949007.08,11.495148,37.358537
1990,Propane,Ontario,PADD IV,Railway,673,4233.0354,49600.1,42875.92931,7.37,24.116276
1990,Propane,Ontario,PADD V,Railway,639,4019.1822,45369,38981.66008,7.1,23.092515
1990,Propane,Ontario,Other,Railway,346,2176.2708,25950,22126.26519,7.5,24.207156
1990,Propane,Ontario,Total,Pipeline,789897.2,4968295.409,80250821.29,68668211.86,10.159653,32.907652
1990,Propane,Ontario,Total,Railway,270687.4,1702569.609,32544658.99,27878704.83,12.022967,38.986686
1990,Propane,Ontario,Total,Truck,135472.1,852092.4146,16953638.63,14518890.38,12.514487,40.569093
1990,Propane,Québec,PADD I,Railway,1586,9975.6228,233012.5,199871.6517,14.691834,47.704546
1990,Propane,Québec,PADD I,Truck,12292.1,77314.85058,1605171.1,1372550.551,13.058558,42.268227
1990,Propane,Québec,Total,Railway,1586,9975.6228,233012.5,199871.6517,14.691834,47.704546
1990,Propane,Québec,Total,Truck,12292.1,77314.85058,1605171.1,1372550.551,13.058558,42.268227
1990,Propane,Saskatchewan,PADD II,Pipeline,1809921.9,11384046.77,186311830.2,159932155.8,10.293915,33.44935
1990,Propane,Saskatchewan,PADD II,Railway,8214.8,51669.44904,1089395.8,937516.9332,13.261379,43.20101
1990,Propane,Saskatchewan,PADD II,Truck,12878.2,81001.30236,1470595.1,1258654.681,11.419259,36.996717
1990,Propane,Saskatchewan,PADD IV,Railway,344,2163.6912,23770.4,20547.90192,6.91,22.611053
1990,Propane,Saskatchewan,PADD IV,Truck,891.5,5607.3567,110291.68,94664.20997,12.371472,40.195387
1990,Propane,Saskatchewan,PADD V,Railway,2991,18812.7918,158523,136205.1115,5.3,17.238072
1990,Propane,Saskatchewan,Total,Pipeline,1809921.9,11384046.77,186311830.2,159932155.8,10.293915,33.44935
1990,Propane,Saskatchewan,Total,Railway,11549.8,72645.93204,1271689.2,1094269.947,11.010486,35.86425
1990,Propane,Saskatchewan,Total,Truck,13769.7,86608.65906,1580886.78,1353318.891,11.480909,37.203812
1991,Butane,Alberta,PADD I,Railway,3404,21410.4792,468660,415178.4088,13.76792,46.169691
1991,Butane,Alberta,PADD II,Railway,60854.6,382763.2631,7070537.8,6174601.552,11.61874,38.408493
1991,Butane,Alberta,PADD IV,Pipeline,192565,1211195.337,23899908.4,20837252.83,12.411345,40.961408
1991,Butane,Alberta,PADD IV,Railway,73613.5,463014.1923,8623108.02,7545443.71,11.71403,38.800657
